,TRSQ,frog_names
3342,T2S R7E 162,"American Toad, Chorus Frog, Gray Tree Frog, Green Frog, Spring Peeper, Wood Frog"
3343,T2S R7E 163,"American Toad, Chorus Frog, Gray Tree Frog, Green Frog, Spring Peeper, Wood Frog"
3344,T2S R7E 164,"American Toad, Chorus Frog, Gray Tree Frog, Green Frog, Leopard Frog, Spring Peeper, Wood Frog"
3345,T2S R7E 171,"American Toad, Chorus Frog, Gray Tree Frog, Leopard Frog, Spring Peeper, Wood Frog"
3346,T2S R7E 172,"Chorus Frog, Spring Peeper, Wood Frog"
3347,T1S R7E 211,"American Toad, Bull Frog, Chorus Frog, Gray Tree Frog, Green Frog, Leopard Frog, Spring Peeper, Wood Frog"
3348,T2S R7E 271,"American Toad, Chorus Frog, Gray Tree Frog, Green Frog, Spring Peeper"
3349,T2S R8E 1 3,"American Toad, Bull Frog, Chorus Frog, Gray Tree Frog, Green Frog, Spring Peeper, Wood Frog"
3350,T2S R8E 4 2,"American Toad, Chorus Frog, Gray Tree Frog, Green Frog, Spring Peeper, Wood Frog"
3351,T2S R8E 4 3,"American Toad, Bull Frog, Chorus Frog, Gray Tree Frog, Green Frog, Spring Peeper, Wood Frog"
3352,T2S R8E 5 1,"American Toad, Bull Frog, Chorus Frog, Gray Tree Frog, Green Frog, Spring Peeper, Wood Frog"
3353,T2S R8E 5 2,"American Toad, Bull Frog, Chorus Frog, Gray Tree Frog, Green Frog, Spring Peeper, Wood Frog"
3354,T1S R8E 5 3,"American Toad, Bull Frog, Chorus Frog, Gray Tree Frog, Green Frog, Leopard Frog, Spring Peeper, Wood Frog"
3355,T2S R8E 5 4,"American Toad, Chorus Frog, Leopard Frog, Spring Peeper"
3356,T2S R8E 6 2,"American Toad, Chorus Frog, Gray Tree Frog, Green Frog, Spring Peeper, Wood Frog"
3357,T2S R8E 6 3,"American Toad, Bull Frog, Chorus Frog, Gray Tree Frog, Green Frog, Leopard Frog, Spring Peeper, Wood Frog"
3358,T2S R8E 6 4,"American Toad, Chorus Frog, Gray Tree Frog, Green Frog, Leopard Frog, Spring Peeper, Wood Frog"
3359,T2S R8E 8 3,"American Toad, Chorus Frog, Gray Tree Frog, Green Frog, Spring Peeper, Wood Frog"
3360,T2S R8E 8 4,"American Toad, Chorus Frog, Gray Tree Frog, Green Frog, Leopard Frog, Spring Peeper, Wood Frog"
3361,T2S R8E 221,"American Toad, Bull Frog, Chorus Frog, Gray Tree Frog, Green Frog, Leopard Frog, Spring Peeper, Wood Frog"
3362,T2S R8E 223,"American Toad, Bull Frog, Chorus Frog, Gray Tree Frog, Green Frog, Spring Peeper, Wood Frog"
3363,T2S R8E 264,"American Toad, Chorus Frog, Gray Tree Frog, Green Frog, Leopard Frog, Spring Peeper, Wood Frog"
3364,T2S R8E 273,"Chorus Frog, Spring Peeper, Wood Frog"
3365,T2S R8E 311,Spring Peeper
3366,T2S R8E 314,"American Toad, Bull Frog, Chorus Frog, Gray Tree Frog, Green Frog, Leopard Frog, Spring Peeper, Wood Frog"
3367,T2S R8E 322,"American Toad, Chorus Frog, Spring Peeper"
3368,T2S R8E 323,"American Toad, Chorus Frog, Gray Tree Frog, Leopard Frog, Spring Peeper"
3369,T2S R8E 354,"Chorus Frog, Spring Peeper"
3370,T2S R9E 5 3,"Chorus Frog, Spring Peeper, Wood Frog"
3371,T2S R9E 5 4,"American Toad, Chorus Frog, Gray Tree Frog, Green Frog, Leopard Frog, Spring Peeper, Wood Frog"
3372,T2S R9E 233,"American Toad, Chorus Frog, Spring Peeper"
3373,T2S R9E 234,"American Toad, Chorus Frog, Spring Peeper"
3374,T3S R9E 7 3,"Chorus Frog, Gray Tree Frog, Green Frog, Leopard Frog, Spring Peeper, Wood Frog"
3375,T3S R8E 104,"American Toad, Chorus Frog, Gray Tree Frog, Green Frog, Spring Peeper"
3376,T3S R8E 124,"American Toad, Chorus Frog, Gray Tree Frog, Green Frog, Leopard Frog, Spring Peeper, Wood Frog"
3377,T1N R8E 131,"Chorus Frog, Gray Tree Frog, Green Frog, Spring Peeper"
3378,T1N R8E 151,"Chorus Frog, Spring Peeper, Wood Frog"
3379,T1N R8E 211,"American Toad, Chorus Frog, Gray Tree Frog, Green Frog, Leopard Frog, Spring Peeper, Wood Frog"
3380,T1N R8E 231,"American Toad, Chorus Frog, Gray Tree Frog, Green Frog, Spring Peeper"
3381,T1N R8E 291,"American Toad, Bull Frog, Chorus Frog, Gray Tree Frog, Green Frog, Spring Peeper, Wood Frog"
3382,T1N R8E 331,"American Toad, Bull Frog, Chorus Frog, Gray Tree Frog, Green Frog, Leopard Frog, Spring Peeper, Wood Frog"
3383,T1N R8E 332,"American Toad, Chorus Frog, Gray Tree Frog, Green Frog, Spring Peeper, Wood Frog"
3384,T1N R8E 333,"American Toad, Chorus Frog, Gray Tree Frog, Green Frog, Leopard Frog, Spring Peeper, Wood Frog"
3385,T1N R8E 334,"American Toad, Chorus Frog, Gray Tree Frog, Green Frog, Spring Peeper, Wood Frog"
3386,T1N R8E 9 1,"American Toad, Bull Frog, Chorus Frog, Gray Tree Frog, Green Frog, Leopard Frog, Spring Peeper, Wood Frog"
3387,T1N R8E 101,"American Toad, Bull Frog, Chorus Frog, Gray Tree Frog, Green Frog, Leopard Frog, Spring Peeper, Wood Frog"
3388,T1N R8E 102,"American Toad, Chorus Frog, Gray Tree Frog, Green Frog, Leopard Frog, Spring Peeper, Wood Frog"
3389,T1N R8E 103,"American Toad, Chorus Frog, Spring Peeper, Wood Frog"
3390,T1N R8E 104,"American Toad, Chorus Frog, Spring Peeper"
3391,T1N R9E 6 1,"Chorus Frog, Spring Peeper, Wood Frog"
3392,T1N R9E 7 1,"Chorus Frog, Spring Peeper, Wood Frog"
3393,T2N R10E291,"American Toad, Chorus Frog, Gray Tree Frog, Green Frog, Spring Peeper, Wood Frog"
3394,T1N R10E292,"American Toad, Chorus Frog, Gray Tree Frog, Green Frog, Leopard Frog, Spring Peeper, Wood Frog"
3395,T2N R8E 354,"American Toad, Bull Frog, Chorus Frog, Gray Tree Frog, Green Frog, Leopard Frog, Spring Peeper, Wood Frog"
3396,T2N R9E 201,"Chorus Frog, Spring Peeper, Wood Frog"
3397,T2N R9E 204,"American Toad, Bull Frog, Chorus Frog, Gray Tree Frog, Green Frog, Leopard Frog, Spring Peeper, Wood Frog"
3398,T2N R10E111,"American Toad, Green Frog, Spring Peeper"
3399,T1S R7E 2 1,"American Toad, Chorus Frog, Spring Peeper, Wood Frog"
3400,T1S R7E 101,"American Toad, Chorus Frog, Spring Peeper, Wood Frog"
3401,T1S R7E 103,"American Toad, Chorus Frog, Gray Tree Frog, Spring Peeper, Wood Frog"
3402,T1S R7E 111,"American Toad, Chorus Frog, Gray Tree Frog, Green Frog, Spring Peeper, Wood Frog"
3403,T1S R7E 121,"American Toad, Chorus Frog, Gray Tree Frog, Green Frog, Spring Peeper, Wood Frog"
3404,T1S R7E 122,"American Toad, Chorus Frog, Gray Tree Frog, Green Frog, Leopard Frog, Spring Peeper, Wood Frog"
3405,T1S R7E 123,"American Toad, Chorus Frog, Gray Tree Frog, Green Frog, Leopard Frog, Spring Peeper"
3406,T1S R7E 142,"American Toad, Chorus Frog, Green Frog, Spring Peeper, Wood Frog"
3407,T1S R7E 143,"American Toad, Chorus Frog, Green Frog, Leopard Frog, Spring Peeper, Wood Frog"
3408,T1S R7E 151,"American Toad, Chorus Frog, Gray Tree Frog, Green Frog, Leopard Frog, Spring Peeper, Wood Frog"
3409,T1S R7E 154,"American Toad, Chorus Frog, Gray Tree Frog, Green Frog, Leopard Frog, Spring Peeper, Wood Frog"
3410,T1S R7E 161,"American Toad, Chorus Frog, Spring Peeper, Wood Frog"
3411,T1S R7E 201,"American Toad, Chorus Frog, Spring Peeper, Wood Frog"
3412,T1S R7E 251,"American Toad, Chorus Frog, Gray Tree Frog, Spring Peeper, Wood Frog"
3413,T1S R7E 361,"Chorus Frog, Gray Tree Frog, Green Frog, Spring Peeper, Wood Frog"
3414,T1S R8E 5 3,"American Toad, Bull Frog, Chorus Frog, Gray Tree Frog, Green Frog, Leopard Frog, Spring Peeper, Wood Frog"
3415,T1S R8E 5 4,"American Toad, Chorus Frog, Gray Tree Frog, Green Frog, Leopard Frog, Spring Peeper, Wood Frog"
3416,T1S R8E 6 1,"American Toad, Bull Frog, Chorus Frog, Gray Tree Frog, Green Frog, Leopard Frog, Spring Peeper, Wood Frog"
3417,T1S R8E 6 3,"American Toad, Bull Frog, Chorus Frog, Gray Tree Frog, Green Frog, Leopard Frog, Spring Peeper, Wood Frog"
3418,T1S R8E 102,"American Toad, Chorus Frog, Gray Tree Frog, Green Frog, Spring Peeper, Wood Frog"
3419,T1S R8E 161,"American Toad, Chorus Frog, Gray Tree Frog, Green Frog, Spring Peeper, Wood Frog"
3420,T2S R8E 181,"American Toad, Chorus Frog, Gray Tree Frog, Spring Peeper"
3421,T2S R8E 184,"Chorus Frog, Spring Peeper"
3422,T2S R8E 191,"American Toad, Chorus Frog, Gray Tree Frog, Spring Peeper"
3423,T1S R8E 312,"American Toad, Bull Frog, Chorus Frog, Gray Tree Frog, Green Frog, Spring Peeper, Wood Frog"
3424,T1S R8E 313,"American Toad, Bull Frog, Chorus Frog, Gray Tree Frog, Green Frog, Spring Peeper, Wood Frog"
3425,T1S R8E 314,"American Toad, Bull Frog, Chorus Frog, Gray Tree Frog, Green Frog, Leopard Frog, Spring Peeper, Wood Frog"
3426,T1S R8E 321,"American Toad, Chorus Frog, Gray Tree Frog, Spring Peeper"
3427,T1S R8E 322,"American Toad, Chorus Frog, Gray Tree Frog, Green Frog, Leopard Frog, Spring Peeper, Wood Frog"
3428,T1S R8E 323,"American Toad, Bull Frog, Chorus Frog, Gray Tree Frog, Spring Peeper"
3429,T1S R8E 324,"American Toad, Bull Frog, Chorus Frog, Gray Tree Frog, Green Frog, Spring Peeper, Wood Frog"
3430,T1S R9E 5 4,"American Toad, Bull Frog, Chorus Frog, Green Frog, Leopard Frog, Spring Peeper, Wood Frog"
3431,T1S R10E202,"American Toad, Spring Peeper"
3432,T1S R10E203,"American Toad, Spring Peeper"
3433,T1S R10E212,"American Toad, Spring Peeper, Wood Frog"
3434,T1S R10E303,"American Toad, Chorus Frog, Spring Peeper"
3435,T2S R8E 121,"Chorus Frog, Gray Tree Frog, Spring Peeper"
3436,T2S R8E 171,"American Toad, Bull Frog, Chorus Frog, Gray Tree Frog, Green Frog, Leopard Frog, Spring Peeper, Wood Frog"
3437,T2S R9E 3 1,"Spring Peeper, Wood Frog"
3438,T2S R9E 8 2,"Chorus Frog, Gray Tree Frog, Green Frog, Leopard Frog, Spring Peeper"
3439,T1S R8E 302,"American Toad, Chorus Frog, Gray Tree Frog, Green Frog, Spring Peeper, Wood Frog"
3440,T1S R8E 304,"American Toad, Chorus Frog, Gray Tree Frog, Green Frog, Spring Peeper"
3441,T1S R8E 311,"American Toad, Chorus Frog, Gray Tree Frog, Spring Peeper"
3442,T1S R8E 301,"American Toad, Chorus Frog, Gray Tree Frog, Green Frog, Spring Peeper, Wood Frog"
3443,T2S R7E 1 1,"American Toad, Chorus Frog, Gray Tree Frog, Spring Peeper"
3444,T2S R7E 2 1,"Chorus Frog, Spring Peeper"
3445,T2S R8E 4 3,"American Toad, Bull Frog, Chorus Frog, Gray Tree Frog, Green Frog, Spring Peeper, Wood Frog"
3446,T2S R8E 214,"American Toad, Bull Frog, Chorus Frog, Gray Tree Frog, Green Frog, Leopard Frog, Spring Peeper, Wood Frog"
3447,T2S R8E 232,"American Toad, Chorus Frog, Gray Tree Frog, Green Frog, Spring Peeper, Wood Frog"
3448,T2S R8E 261,"American Toad, Chorus Frog, Gray Tree Frog, Green Frog, Leopard Frog, Spring Peeper, Wood Frog"
3449,T2S R8E 271,"American Toad, Bull Frog, Chorus Frog, Gray Tree Frog, Green Frog, Leopard Frog, Spring Peeper"
3450,T2S R9E 8 3,"American Toad, Chorus Frog, Green Frog, Spring Peeper"
3451,T2S R9E 184,"American Toad, Chorus Frog, Spring Peeper"
3452,T3S R8E 1 1,"Chorus Frog, Gray Tree Frog, Spring Peeper"
3453,T2S R8E 9 4,"American Toad, Bull Frog, Chorus Frog, Gray Tree Frog, Green Frog, Spring Peeper"
3454,T2S R8E 351,"American Toad, Chorus Frog, Gray Tree Frog, Spring Peeper"
3455,T2S R8E 361,"American Toad, Chorus Frog, Gray Tree Frog, Spring Peeper"
3456,T3S R8E 111,"American Toad, Chorus Frog, Spring Peeper"
3457,T3S R8E 121,"American Toad, Chorus Frog, Spring Peeper"
3458,T2S R10E102,"American Toad, Chorus Frog, Leopard Frog, Spring Peeper"
3459,T1N R8E 2 3,"Chorus Frog, Spring Peeper, Wood Frog"
3460,T1N R8E 3 2,"American Toad, Bull Frog, Chorus Frog, Gray Tree Frog, Green Frog, Spring Peeper, Wood Frog"
3461,T1N R8E 3 3,"American Toad, Bull Frog, Chorus Frog, Gray Tree Frog, Green Frog, Spring Peeper, Wood Frog"
3462,T1N R8E 3 4,"American Toad, Chorus Frog, Gray Tree Frog, Green Frog, Leopard Frog, Spring Peeper, Wood Frog"
3463,T1N R8E 101,"American Toad, Bull Frog, Chorus Frog, Gray Tree Frog, Green Frog, Leopard Frog, Spring Peeper, Wood Frog"
3464,T1N R8E 231,"American Toad, Chorus Frog, Gray Tree Frog, Green Frog, Spring Peeper"
3465,T1N R8E 242,"American Toad, Chorus Frog, Gray Tree Frog, Green Frog, Leopard Frog, Spring Peeper"
3466,T1N R8E 331,"American Toad, Bull Frog, Chorus Frog, Gray Tree Frog, Green Frog, Leopard Frog, Spring Peeper, Wood Frog"
3467,T1N R8E 332,"American Toad, Chorus Frog, Gray Tree Frog, Green Frog, Spring Peeper, Wood Frog"
3468,T1N R8E 333,"American Toad, Chorus Frog, Gray Tree Frog, Green Frog, Leopard Frog, Spring Peeper, Wood Frog"
3469,T1N R8E 334,"American Toad, Chorus Frog, Gray Tree Frog, Green Frog, Spring Peeper, Wood Frog"
3470,T1N R8E 361,"American Toad, Chorus Frog, Gray Tree Frog, Spring Peeper"
3471,T1N R8E 364,"American Toad, Chorus Frog, Gray Tree Frog, Spring Peeper"
3472,T1N R9E 123,"American Toad, Chorus Frog, Green Frog, Spring Peeper"
3473,T1N R9E 124,"American Toad, Chorus Frog, Spring Peeper"
3474,T1N R9E 232,"American Toad, Chorus Frog, Spring Peeper"
3475,T1N R9E 311,"American Toad, Chorus Frog, Green Frog, Spring Peeper, Wood Frog"
3476,T1N R10E9 4,"American Toad, Gray Tree Frog, Leopard Frog, Spring Peeper"
3477,T2N R8E 354,"American Toad, Bull Frog, Chorus Frog, Gray Tree Frog, Green Frog, Leopard Frog, Spring Peeper, Wood Frog"
3478,T2N R8E 363,"American Toad, Bull Frog, Chorus Frog, Gray Tree Frog, Green Frog, Leopard Frog, Spring Peeper, Wood Frog"
3479,T2N R9E 284,"American Toad, Chorus Frog, Gray Tree Frog, Leopard Frog, Spring Peeper, Wood Frog"
3480,T2N R9E 362,"American Toad, Bull Frog, Chorus Frog, Green Frog, Leopard Frog, Spring Peeper, Wood Frog"
3481,T2N R9E 364,"American Toad, Gray Tree Frog, Green Frog, Spring Peeper"
3482,T2N R9E 212,"American Toad, Bull Frog, Chorus Frog, Gray Tree Frog, Green Frog, Leopard Frog, Spring Peeper, Wood Frog"
3483,T1N R10E1 3,Spring Peeper
3484,T1N R10E2 2,"American Toad, Bull Frog, Chorus Frog, Gray Tree Frog, Green Frog, Leopard Frog, Spring Peeper, Wood Frog"
3485,T2N R9E 211,"American Toad, Bull Frog, Chorus Frog, Gray Tree Frog, Green Frog, Leopard Frog, Spring Peeper, Wood Frog"
3486,T2N R10E6 3,"American Toad, Chorus Frog, Gray Tree Frog, Green Frog, Spring Peeper, Wood Frog"
3487,T2N R10E7 4,"American Toad, Bull Frog, Green Frog, Leopard Frog, Spring Peeper"
3488,T2N R10E9 3,"American Toad, Bull Frog, Chorus Frog, Gray Tree Frog, Green Frog, Leopard Frog, Spring Peeper"
3489,T2N R10E242,"American Toad, Bull Frog, Chorus Frog, Gray Tree Frog, Green Frog, Leopard Frog, Spring Peeper, Wood Frog"
3490,T2N R10E243,"American Toad, Chorus Frog, Gray Tree Frog, Green Frog, Leopard Frog, Spring Peeper, Wood Frog"
3491,T2N R11E5 1,"American Toad, Chorus Frog, Gray Tree Frog, Green Frog, Spring Peeper"
3492,T2N R11E5 2,"American Toad, Bull Frog, Chorus Frog, Gray Tree Frog, Green Frog, Spring Peeper, Wood Frog"
3493,T2N R11E6 2,"American Toad, Chorus Frog, Gray Tree Frog, Green Frog, Leopard Frog, Spring Peeper, Wood Frog"
3494,T3N R11E311,"American Toad, Chorus Frog, Gray Tree Frog, Green Frog, Spring Peeper, Wood Frog"
3495,T3N R11E323,"American Toad, Chorus Frog, Gray Tree Frog, Green Frog, Leopard Frog, Spring Peeper, Wood Frog"
3496,T1S R7E 114,"American Toad, Chorus Frog, Green Frog, Spring Peeper"
3497,T1S R7E 134,"American Toad, Chorus Frog, Gray Tree Frog, Green Frog, Spring Peeper, Wood Frog"
3498,T1S R7E 141,"American Toad, Chorus Frog, Green Frog, Spring Peeper, Wood Frog"
3499,T1S R7E 142,"American Toad, Chorus Frog, Green Frog, Spring Peeper, Wood Frog"
3500,T1S R7E 143,"American Toad, Chorus Frog, Green Frog, Leopard Frog, Spring Peeper, Wood Frog"
3501,T1S R7E 151,"American Toad, Chorus Frog, Gray Tree Frog, Green Frog, Leopard Frog, Spring Peeper, Wood Frog"
3502,T1S R7E 154,"American Toad, Chorus Frog, Gray Tree Frog, Green Frog, Leopard Frog, Spring Peeper, Wood Frog"
3503,T1S R7E 173,"American Toad, Chorus Frog, Gray Tree Frog, Spring Peeper, Wood Frog"
3504,T1S R7E 203,"American Toad, Bull Frog, Chorus Frog, Gray Tree Frog, Green Frog, Leopard Frog, Spring Peeper, Wood Frog"
3505,T1S R7E 204,"American Toad, Bull Frog, Chorus Frog, Gray Tree Frog, Green Frog, Leopard Frog, Spring Peeper, Wood Frog"
3506,T2S R7E 232,"American Toad, Chorus Frog, Gray Tree Frog, Green Frog, Spring Peeper, Wood Frog"
3507,T1S R7E 233,"American Toad, Chorus Frog, Green Frog, Spring Peeper, Wood Frog"
3508,T1S R7E 232,"American Toad, Chorus Frog, Gray Tree Frog, Green Frog, Leopard Frog, Spring Peeper, Wood Frog"
3509,T1S R7E 241,"American Toad, Chorus Frog, Gray Tree Frog, Leopard Frog, Spring Peeper, Wood Frog"
3510,T1S R7E 252,"American Toad, Chorus Frog, Green Frog, Spring Peeper, Wood Frog"
3511,T1S R7E 364,"American Toad, Chorus Frog, Gray Tree Frog, Spring Peeper, Wood Frog"
3512,T1S R8E 4 3,"American Toad, Bull Frog, Chorus Frog, Gray Tree Frog, Green Frog, Spring Peeper, Wood Frog"
3513,T1S R8E 5 2,"American Toad, Chorus Frog, Gray Tree Frog, Green Frog, Leopard Frog, Spring Peeper, Wood Frog"
3514,T1S R8E 5 3,"American Toad, Bull Frog, Chorus Frog, Gray Tree Frog, Green Frog, Leopard Frog, Spring Peeper, Wood Frog"
3515,T1S R8E 5 4,"American Toad, Chorus Frog, Gray Tree Frog, Green Frog, Leopard Frog, Spring Peeper, Wood Frog"
3516,T1S R8E 6 1,"American Toad, Bull Frog, Chorus Frog, Gray Tree Frog, Green Frog, Leopard Frog, Spring Peeper, Wood Frog"
3517,T1S R8E 6 3,"American Toad, Bull Frog, Chorus Frog, Gray Tree Frog, Green Frog, Leopard Frog, Spring Peeper, Wood Frog"
3518,T1S R8E 6 4,"American Toad, Chorus Frog, Gray Tree Frog, Green Frog, Leopard Frog, Spring Peeper, Wood Frog"
3519,T1S R8E 7 1,"American Toad, Bull Frog, Chorus Frog, Gray Tree Frog, Green Frog, Leopard Frog, Spring Peeper, Wood Frog"
3520,T1S R8E 9 1,"American Toad, Chorus Frog, Gray Tree Frog, Green Frog, Spring Peeper, Wood Frog"
3521,T1S R8E 9 3,"American Toad, Bull Frog, Chorus Frog, Gray Tree Frog, Green Frog, Leopard Frog, Spring Peeper, Wood Frog"
3522,T1S R8E 181,"American Toad, Chorus Frog, Gray Tree Frog, Green Frog, Spring Peeper, Wood Frog"
3523,T1S R8E 193,"American Toad, Chorus Frog, Gray Tree Frog, Green Frog, Leopard Frog, Spring Peeper, Wood Frog"
3524,T1S R8E 211,"Chorus Frog, Spring Peeper"
3525,T1S R8E 301,"American Toad, Chorus Frog, Gray Tree Frog, Green Frog, Spring Peeper, Wood Frog"
3526,T1S R8E 302,"American Toad, Chorus Frog, Gray Tree Frog, Green Frog, Spring Peeper, Wood Frog"
3527,T1S R8E 304,"American Toad, Chorus Frog, Gray Tree Frog, Green Frog, Spring Peeper"
3528,T1S R8E 311,"American Toad, Chorus Frog, Gray Tree Frog, Spring Peeper"
3529,T1S R8E 312,"American Toad, Bull Frog, Chorus Frog, Gray Tree Frog, Green Frog, Spring Peeper, Wood Frog"
3530,T1S R8E 313,"American Toad, Bull Frog, Chorus Frog, Gray Tree Frog, Green Frog, Spring Peeper, Wood Frog"
3531,T1S R8E 314,"American Toad, Bull Frog, Chorus Frog, Gray Tree Frog, Green Frog, Leopard Frog, Spring Peeper, Wood Frog"
3532,T1S R8E 322,"American Toad, Chorus Frog, Gray Tree Frog, Green Frog, Leopard Frog, Spring Peeper, Wood Frog"
3533,T1S R9E 334,"American Toad, Bull Frog, Chorus Frog, Green Frog, Leopard Frog, Spring Peeper, Wood Frog"
3534,T1S R10E181,"American Toad, Spring Peeper, Wood Frog"
3535,T1S R10E201,"American Toad, Chorus Frog, Gray Tree Frog, Spring Peeper, Wood Frog"
3536,T1S R10E202,"American Toad, Spring Peeper"
3537,T1S R10E293,"Chorus Frog, Spring Peeper"
3538,T2S R7E 1 1,"American Toad, Chorus Frog, Gray Tree Frog, Spring Peeper"
3539,T2S R7E 101,"American Toad, Chorus Frog, Gray Tree Frog, Leopard Frog, Spring Peeper, Wood Frog"
3540,T2S R7E 111,"American Toad, Bull Frog, Chorus Frog, Gray Tree Frog, Green Frog, Leopard Frog, Spring Peeper, Wood Frog"
3541,T2S R8E 2 1,Spring Peeper
3542,T2S R8E 3 1,"American Toad, Spring Peeper"
3543,T2S R8E 3 2,"American Toad, Bull Frog, Chorus Frog, Gray Tree Frog, Green Frog, Spring Peeper, Wood Frog"
3544,T2S R8E 3 3,"American Toad, Bull Frog, Chorus Frog, Gray Tree Frog, Green Frog, Spring Peeper, Wood Frog"
3545,T2S R8E 154,"American Toad, Bull Frog, Chorus Frog, Gray Tree Frog, Green Frog, Leopard Frog, Spring Peeper"
3546,T2S R8E 171,"American Toad, Bull Frog, Chorus Frog, Gray Tree Frog, Green Frog, Leopard Frog, Spring Peeper, Wood Frog"
3547,T2S R8E 252,"American Toad, Bull Frog, Chorus Frog, Gray Tree Frog, Green Frog, Spring Peeper, Wood Frog"
3548,T2S R8E 284,"Chorus Frog, Spring Peeper"
3549,T2S R8E 334,"American Toad, Chorus Frog, Spring Peeper"
3550,T1S R9E 341,Spring Peeper
3551,T2S R10E103,"American Toad, Chorus Frog, Green Frog, Spring Peeper"
3552,T2S R11E281,"American Toad, Spring Peeper"
3553,T3S R8E 3 2,"American Toad, Chorus Frog, Gray Tree Frog, Spring Peeper, Wood Frog"
3554,T3S R8E 3 3,"American Toad, Bull Frog, Chorus Frog, Gray Tree Frog, Green Frog, Spring Peeper, Wood Frog"
3555,T3S R8E 4 1,"American Toad, Chorus Frog, Gray Tree Frog, Spring Peeper"
3556,T3S R8E 4 2,"American Toad, Chorus Frog, Gray Tree Frog, Green Frog, Leopard Frog, Spring Peeper"
3557,T3S R8E 4 3,"American Toad, Chorus Frog, Gray Tree Frog, Green Frog, Leopard Frog, Spring Peeper"
3558,T3S R8E 4 4,"American Toad, Chorus Frog, Gray Tree Frog, Green Frog, Spring Peeper"
3559,T2S R9E 252,"American Toad, Bull Frog, Chorus Frog, Green Frog, Leopard Frog, Spring Peeper"
3560,T3S R8E 8 1,"Chorus Frog, Spring Peeper"
3561,T3S R8E 103,"American Toad, Chorus Frog, Spring Peeper"
3562,T3S R8E 104,"American Toad, Chorus Frog, Gray Tree Frog, Green Frog, Spring Peeper"
3563,T1N R8E 3 4,"American Toad, Chorus Frog, Gray Tree Frog, Green Frog, Leopard Frog, Spring Peeper, Wood Frog"
3564,T1N R8E 4 4,"American Toad, Bull Frog, Chorus Frog, Gray Tree Frog, Green Frog, Leopard Frog, Spring Peeper, Wood Frog"
3565,T1N R8E 124,"Chorus Frog, Leopard Frog, Spring Peeper"
3566,T1N R8E 261,"American Toad, Chorus Frog, Spring Peeper"
3567,T1N R8E 331,"American Toad, Bull Frog, Chorus Frog, Gray Tree Frog, Green Frog, Leopard Frog, Spring Peeper, Wood Frog"
3568,T1N R8E 332,"American Toad, Chorus Frog, Gray Tree Frog, Green Frog, Spring Peeper, Wood Frog"
3569,T1N R8E 333,"American Toad, Chorus Frog, Gray Tree Frog, Green Frog, Leopard Frog, Spring Peeper, Wood Frog"
3570,T1N R8E 334,"American Toad, Chorus Frog, Gray Tree Frog, Green Frog, Spring Peeper, Wood Frog"
3571,T1N R9E 122,"American Toad, Chorus Frog, Green Frog, Spring Peeper, Wood Frog"
3572,T1N R9E 123,"American Toad, Chorus Frog, Green Frog, Spring Peeper"
3573,T2N R9E 324,"American Toad, Chorus Frog, Gray Tree Frog, Green Frog, Leopard Frog, Spring Peeper, Wood Frog"
3574,T2N R9E 362,"American Toad, Bull Frog, Chorus Frog, Green Frog, Leopard Frog, Spring Peeper, Wood Frog"
3575,T1N R9E 133,"American Toad, Bull Frog, Chorus Frog, Gray Tree Frog, Green Frog, Leopard Frog, Spring Peeper, Wood Frog"
3576,T1N R9E 281,"American Toad, Bull Frog, Gray Tree Frog, Green Frog, Spring Peeper, Wood Frog"
3577,T1N R9E 333,"American Toad, Spring Peeper"
3578,T2N R8E 353,"American Toad, Chorus Frog, Gray Tree Frog, Spring Peeper, Wood Frog"
3579,T2N R8E 354,"American Toad, Bull Frog, Chorus Frog, Gray Tree Frog, Green Frog, Leopard Frog, Spring Peeper, Wood Frog"
3580,T1N R7E 364,"American Toad, Chorus Frog, Gray Tree Frog, Spring Peeper, Wood Frog"
3581,T1N R8E 2 4,"American Toad, Chorus Frog, Gray Tree Frog, Green Frog, Spring Peeper"
3582,T1N R8E 3 2,"American Toad, Bull Frog, Chorus Frog, Gray Tree Frog, Green Frog, Spring Peeper, Wood Frog"
3583,T1N R8E 3 3,"American Toad, Bull Frog, Chorus Frog, Gray Tree Frog, Green Frog, Spring Peeper, Wood Frog"
3584,T1N R10E5 1,"American Toad, Chorus Frog, Gray Tree Frog, Green Frog, Spring Peeper, Wood Frog"
3585,T1N R10E5 2,"American Toad, Chorus Frog, Gray Tree Frog, Green Frog, Spring Peeper"
3586,T1N R10E8 4,Spring Peeper
3587,T1N R10E9 2,"American Toad, Chorus Frog, Spring Peeper"
3588,T1N R10E243,"American Toad, Chorus Frog, Spring Peeper"
3589,T2N R9E 211,"American Toad, Bull Frog, Chorus Frog, Gray Tree Frog, Green Frog, Leopard Frog, Spring Peeper, Wood Frog"
3590,T2N R9E 222,"American Toad, Bull Frog, Chorus Frog, Gray Tree Frog, Green Frog, Spring Peeper, Wood Frog"
3591,T2N R9E 224,"American Toad, Spring Peeper"
3592,T2N R9E 241,"American Toad, Green Frog, Leopard Frog, Spring Peeper"
3593,T2N R9E 284,"American Toad, Chorus Frog, Gray Tree Frog, Leopard Frog, Spring Peeper, Wood Frog"
3594,T2N R9E 322,"American Toad, Spring Peeper, Wood Frog"
3595,T2N R9E 363,"American Toad, Chorus Frog, Spring Peeper"
3596,T2N R10E4 3,"American Toad, Green Frog, Spring Peeper"
