"ID","SITE_NAME","SITE_LOCAT","WATERBODY_","SWS","LONGITUD","LATITUDE","BRANCH","FIELDID","FOTR/WC","YRS SAM","2011","2010","2009","2008","2007","2006","2005","2004","2003","2002","2001","#Yrs samp","SP2022 SQI","SP2022 TAXA","SP2022 EPT","SP2022 WQRF","SP2022 COLL","SP2022 DATE","SP2022 TEAM","SP2021 TEAM","SP2021 DATE","SP2021 SQI","SP2021 TAXA","SP2021 INSECT TAXA","SP2021 EPT","SP2021 SENS","SP2021 WQR","SP2021 WQRF","SP2020 TEAM","SP2020 DATE","SP2020 COLL","SP2020 FIELDID","SP2020 LABID","SP2020 SQI","SP2020 TAXA","SP2020 EPT","SP2020 SENS","SP2020 Salt","AVE","SP19 TEAM","SP19 DATE","SP19 COLL","SP19 FIELDID","SP19 LABID","SP19 SQI","SP19 TAXA","SP19 EPT","SP19 SENS","SP18 TEAM","SP18 DATE","SP18 COLL","SP18 FIELDID","SP18 LABID","SP18 SQI","SP18 TAXA","SP18 EPT","SP18 SENS","SP17 TEAM","SP17 DATE","SP17 COLL","SP17 FIELDID","SP17 LABID","SP17 SQI","SP17 TAXA","SP17 EPT","SP17 SENS","SP16 Team","SP16 DATE","SP16 COLL","SP16 FIELDID","SP16LABID","SP16 SQI","SP16 TAXA","SP16 EPT","SP16 SENS","SP15 DATE","SP15 COLL","SP15 FIELDID","SP15 LABID","SP15 SQI","SP15 TAXA","SP15 EPT","SP15 SENS","SP15","SP14","SP14 COLL","SP14 FIELDID","SP14 LABID","SP14 SQI","SP14 TAXA","SP14 EPT","SP14 SENS","SP13","SP13 COLL","SP13 FIELDID","SP13 LABID","SP13 SQI","SP13 TAXA","SP13 EPT","SP13 SENS","SP12 DATE","SP12 COLL","SP12 FIELDID","SP12 LABID","SP12 SQI","SP12 TAXA","SP12 EPT","SP12 SENS","SP11 DATE","SP11 COLL","SP11 FIELDID","SP11 LABID","SP11 SQI","SP11 TAXA","SP11 EPT","SP11 SENS","SP10 DATE","SP10 COLL","SP10 FIELDID","SP10 LABID","SP10 SQI","SP10 TAXA","SP10EPT","SP10SENS","SP09ERR","SP09","SP09COLL","SP09ID","SP09 SQI","SP09 TAXA","SP09 EPT","SP09 SENS","SP08 DATE","SP08COLLECTOR","SP08ID","SP08IDLAB","SP08 SQI","SP08 TAXA","SP08EPT","SP08 SENS","SP07 DATE","SP07COLLECTOR","SP07ID","SP07IDLAB","SP07 SQI","SP07 TAXA","SP07EPT","SP07 SENS","SP06DATE","SP06SAMPLER","SP06 SQI","SP06 TAXA","SP06 EPT","SP06 SENS","SP05 DATE","SAMPLER","SP05 SQI","SP05 TAXA","SP05 EPT","SP05 SENS","SP04 DATE","SP04 SQI","SP04 TAXA","SP03 SQI","SP03TAXA","SP02 SQI","SP02TAXA","SP01 SQI","SP01TAXA"
"27","Ford Field","Northville/Main Street","Walled Lk Drainage","M1","-83.48056","42.43354","M","Wall4","FOTR","","","Y","Y","Y","","","","","","","","2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2012-04-21 00:00:00","Ross","Ross","McCulloch","13","7","1","0","","","","","","","","","2010-04-24 00:00:00","Erickson","Dudek","McCulloch","19","7","1","0","","2009-04-25 00:00:00","Thompson","Thompson","23","10","2","0","2008-04-26 00:00:00","Flowers","Flowers","McCulloch","30","10","2","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"73","Willow Cr","Barchester Pk, Ford/Lilley","Willow Creek","M1","-83.46422","42.33002","M","Will1","FOTR","","","","Y","","","Y","","Y","Y","","","4","","","","","","","","","","","","","","","","","","","","","","","","","","","14.05","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2015-04-18 00:00:00","Sosin","Sosin","McCulloch","33.8","13","3","0","17","","","","","","","","","4/29/13","Kamarinas","Petrella","Petrella","20","10","0","0","","","","","","","","","2011-04-30 00:00:00","Peerbolte, J","Peerbolte, M","McCulloch","16","8","0","0","","","","","","","","","-1.49110320284698","2009-04-25 00:00:00","Peerbolte","Gruelle","35","13","1","","","","","","","","","","","","","","","","","","2006-04-29 00:00:00","Belair","11","6","0","0","","","","","","","2004-04-24 00:00:00","17.1","7","25.1","10","","","",""
"2040","","","Willow Creek","","","","M","Will2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","0","0","0","","","","","","","","0","0","0","","","","","","","0","0","0","","","","","","","0","0","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2041","","","Willow Creek","","","","M","Will3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","0","0","0","","","","","","","","0","0","0","","","","","","","0","0","0","","","","","","","0","0","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2030","","","Main Rouge","","","","MN","MN-6","WC","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","WC","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2031","","","Main Rouge","","","","MN","MN-7","WC","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","WC","","","","","","","","","WC","2017-04-18 00:00:00","Thompson","Thompson","Thompson","23.7","9","2","0","WC","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"79","Northville Rec Area","Hines/7 Mile","Middle Rouge","M1","-83.47712","42.42487","M","MR-1","WC","","","","Y","Y","Y","Y","Y","","","","","5","","","","","","","","","","","","","","","","","","","","","","","","","","","36.34","","","","","","","","","","","","","","","","","","","","","","","","","","","","WC","4/15/16","Thompson","Thompson","Thompson","39.1","16","2","0","","","","","","","","","","4/16/14","Thompson","Thompson","Thompson","43","16","2","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","-0.155751238304898","2009-05-13 00:00:00","Mullett","Nightengale","42","16","4","0","2008-05-06 00:00:00","Flowers","Cullen","Best","49","22","4","0","2007-04-17 00:00:00","Thompson","Thompson","Best","42","13","4","0","2006-04-28 00:00:00","Thompson-WC","31.6","12","2","0","2005-04-08 00:00:00","WC","17.1","5","2","0","","","","","","","","",""
"35","Parr Rec Area","Across from Wallaceville yard, S of Hines","Middle Rouge","M3","-83.27895","42.347097","M","MR-10","WC","","","Y","","","Y","Y","Y","","","","","3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2015-04-22 00:00:00","Flowers","Flowers","Thompson","23.3","9","2","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2010-04-28 00:00:00","Mullett","Mullett","Thompson","23","9","2","0","","","","","","","","","","","","","","","","","2007-04-17 00:00:00","Flowers","Flowers","Best","23.3","9","2","0","2006-04-06 00:00:00","Best-WC","6.2","4","0","0","2005-04-08 00:00:00","WC","23.8","9","2","0","","","","","","","","",""
"80","Elm Grove","East of Nankin Mills, West of Valley View Rec Area","Middle Rouge","M3","-83.3629","42.34516","M","MR-11","WC","","","","Y","Y","Y","Y","","","","","","4","","","","","","","","","","","","","","","","","","","","","","","","","","","11.325","","","","","","","","","","WC","","","","","","","","","WC","2017-04-17 00:00:00","Thompson","Thompson","Thompson","20.6","9","1","0","Y","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","-0.41280353200883","2009-05-13 00:00:00","Mullett","Nightengale","16","6","2","0","2008-05-06 00:00:00","Mullet","Cullen","Best","25","11","1","0","2007-04-17 00:00:00","Benz","Raizada","Best","4.3","4","0","0","2006-04-06 00:00:00","Flowers-WC","8.1","4","1","0","","","","","","","","","","","","","","",""
"81","Hawthorn Valley","East of Merriman, West of Middlebelt Hill","Middle Rouge","M3","-83.34093","42.33975","M","MR-12","WC","","","","Y","Y","Y","Y","","","","","","4","","","","","","","","","","","","","","","","","","","","","","","","","","","14.9","","","","","","","","","","","","","","","","","","","","","","","","","","","","Y","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","-0.409395973154362","2009-05-13 00:00:00","Flowers","Flowers","21","9","1","0","2008-05-06 00:00:00","Thompson","Tuomari","Best","22","9","2","0","2007-04-17 00:00:00","Best","Best","Best","11.5","7","1","0","2006-04-06 00:00:00","Benz-WC","5.1","3","0","0","","","","","","","","","","","","","","",""
"82","Warrendale","Hines/Warren","Middle Rouge","M3","-83.26865","42.34432","M","MR-13","WC","","","","","Y","Y","Y","Y","","","","","4","","","","","","","","","","","","","","","","","","","","","","","","","","","","WC FOTR","4/9/19","Sue Thompson","Sue Thompson","Sue Thompson","23.5","10","2","0","WC","2018-04-24 00:00:00","Sue Thompson","Sue Thompson","Sue Thompson","27.4","10","2","0","","","","","","","","","","","","","","","","","","","2015-04-22 00:00:00","Flowers","Flowers","Thompson","19.2","7","2","0","WC","4/22/14","Flowers","Flowers","Thompson","17","8","1","0","5/9/13","Mullett","Tuomari","Thompson","19","9","2","0","2012-04-27 00:00:00","Mullett","Mullett","Thompson","16","7","2","0","","","","","","","","","","","","","","","","","","","","","","","","","2008-05-06 00:00:00","Thompson","Tuomari","Best","21","8","2","0","2007-04-23 00:00:00","Thompson","Thompson","Best","28.9","12","2","0","2006-04-28 00:00:00","Thompson-WC","20.6","8","2","0","2005-05-18 00:00:00","REP","28.8","10","2","0","","","","","","","","",""
"36","Smith Elementary","Byron/McKinley","Tonquish Creek","M1","-83.47638","42.36027","M","MR-14","WC","","","Y","Y","Y","Y","","","","","","","3","","","","","","","","","","","","","","","","","","","","","","","","","","","29.1666666666667","","","","","","","","","","","","","","","","","","","","","","","","","","","","Y","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2010-05-05 00:00:00","Thompson","Thompson","Thompson","39","20","1","0","0.0742857142857143","2009-04-17 00:00:00","Thompson","Thompson","27","12","2","0","2008-05-13 00:00:00","Thompson","Thompson","Best","27","12","1","0","2007-06-01 00:00:00","Thompson","Thompson","Best","33.5","16","1","0","","","","","","","","","","","","","","","","","","","","",""
"37","Outer Drive","Ford Road/Outer Drive","Middle Rouge","L2","-83.2483","42.3306","M","MR-15","WC","","","Y","Y","Y","","","Y","","","","","3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","WC","","","","","","","","","","","","","","","","","","","","","","","","","","","2015-04-17 00:00:00","Mullett","Mullett","Thompson","30.5","11","2","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2010-04-28 00:00:00","Mullett","Mullett","Thompson","29","14","2","0","","2009-05-13 00:00:00","Flowers","Flowers","24","10","2","0","2008-05-19 00:00:00","Best","Best","Best","19","8","2","0","","","","","","","","","","","","","","","2005-05-18 00:00:00","REP","15.3","7","1","0","","","","","","","","",""
"38","Tonquish Creek - Canoe Park","West of Ann Arbor Trail/Hines","Tonquish Creek","M3","-83.375","42.3519","M","MR-16","WC","","","Y","Y","Y","","","","","","","","2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","WC","4/18/16","Thompson","Thompson","Thompson","27.9","12","1","0","","","","","","","","","","4/22/14","Flowers","Flowers","Thompson","19","8","1","0","","","","","","","","","","","","","","","","","","","","","","","","","2010-04-28 00:00:00","Flowers","Flowers","Thompson","20","8","1","0","","2009-05-13 00:00:00","Thompson","Thompson","25","11","1","0","2008-05-06 00:00:00","Mullet","Cullen","Best","21","10","1","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"39","I-275 clam bar","West of I-275","Middle Rouge","M1","-83.437574","42.370466","M","MR-17","WC","","","Y","Y","Y","","","","","","","","2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","WC","2017-06-06 00:00:00","Thompson","Thompson","Thompson","43.7","21","4","0","Y","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2010-04-28 00:00:00","Thompson","Thompson","Thompson","46","17","4","0","","2009-05-13 00:00:00","Nightengale","Nightengale","41","18","5","0","2008-05-06 00:00:00","Thompson","Thompson","Best","44","16","3","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"40","Springbrook Rec Area","East of M-14 on Hines","Middle Rouge","M3","-83.466928","42.388921","M","MR-18","WC","","","Y","Y","Y","","","","","","","","2","","","","","","","","12","4/17/21","41","17","10","5","1","","","","","","","","","","","","","","WC FOTR","4/9/19","Sue Thompson","Sue Thompson","Sue Thompson","45.4","22","6","0","","","","","","","","","","","","","","","","","","","Y","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2011-05-13 00:00:00","Thompson","Thompson","Thompson","38","16","3","0","2010-04-28 00:00:00","Flowers","Flowers","Thompson","31","14","5","0","","2009-05-13 00:00:00","Thompson","Thompson","44","17","4","0","2008-05-06 00:00:00","Best","Best","Best","44","20","2","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"41","Tonquish Creek-Joy Rd","Joy/Tonquish Creek","Tonquish Creek","M1","-83.462729","42.351831","M","MR-19","WC","","","Y","Y","Y","","","","","","","","2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2012-04-27 00:00:00","Mullett","Mullett","Thompson","30","11","0","0","","","","","","","","","2010-05-05 00:00:00","Thompson","Thompson","Thompson","25","10","1","0","","2009-04-17 00:00:00","Thompson","Thompson","11","5","0","0","2008-05-13 00:00:00","Thompson","Thompson","Best","14","7","1","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"83","Reservoir Road","S of 6 Mile, E of Hines","Middle Rouge","M1","-83.47076","42.408","M","MR-2","WC","","","","Y","Y","Y","Y","Y","","","","","5","21","8","2","7","Weis","2022-04-23 00:00:00","13","12","4/17/21","39.7","16","10","4","0","","","","","","","","","","","","","35.24","","","","","","","","","","","","","","","","","","","WC","2017-04-17 00:00:00","Thompson","Thompson","Thompson","45.8","19","4","0","Y","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","-0.0215664018161182","2009-05-13 00:00:00","Flowers","Flowers","36","12","3","0","2008-05-06 00:00:00","Best","Best","Best","49","19","4","0","2007-04-17 00:00:00","Flowers","Flowers","Best","32.9","12","3","0","2006-04-28 00:00:00","Thompson-WC","34.3","10","2","0","2005-04-08 00:00:00","WC","24","7","3","1","","","","","","","","",""
"42","Waterford Bend","Waterford Bend","Middle Rouge","M1","-83.47079","42.41054","M","MR-20","WC","","","Y","Y","","","","","","","","","1","","","","","","","","ST","4/23/2021","42.1","19","13","4","0","4.97","5.24","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","WC","2017-06-07 00:00:00","Thompson","Thompson","Thompson","44.9","18","4","0","WC","6/7/16","Thompson","Thompson","Thompson","52.1","24","7","1","","","","","","","","","","4/18/14","Mullett","Thompson","Thompson","40","14","2","0","4/26/13","Thompson","Thompson","Thompson","48","21","5","0","2012-04-24 00:00:00","Tuomari","Thompson","Thompson","38","16","5","0","2011-05-13 00:00:00","Thompson","Thompson","Thompson","52","20","4","0","2010-04-28 00:00:00","Thompson","Thompson","Thompson","48","18","4","0","","2009-05-13 00:00:00","Thompson","Thompson","49","19","4","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"84","Holliday Nature Preserve at MC","","Tonquish Creek","M3","-83.398143","42.345241","M","MR-21","WC","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2004","Sump North","7 Mile & Beck","Sump Creek","M1","-83.544167","42.420833","M","MR-22","ST","","","","","","","","","","","","","","38","18","3","5.19","Thompson","2022-04-10 00:00:00","ST","ST","4/18/2021","35","14","11","4","2","5.8","4.74","Thompson","4-26-2020","Thompson","Thompson","Thompson","40.9","19","5","2","","","ST","5/2/19","Sue Thompson","Sue Thompson","Sue Thompson","33.7","15","3","0","ST","2018-04-22 00:00:00","Sue Thompson","Sue Thompson","Sue Thompson","37","18","4","1","ST","2017-04-25 00:00:00","Thompson","Thompson","Thompson","31.9","15","2","0","ST","4/17/16","Thompson","Thompson","Thompson","40.5","18","6","2","2015-04-11 00:00:00","Thompson","Thompson","Thompson","46.4","12","3","1","ST","4/6/14","Thompson","Thompson","Thompson","37","13","4","2","4/21/13","Thompson","Thompson","Thompson","46","16","3","2","2012-04-21 00:00:00","Thompson","Thompson","Thompson","45","17","3","1","2011-04-24 00:00:00","Thompson","Thompson","Thompson","41","17","3","2","2010-04-24 00:00:00","Thompson","Thompson","Thompson","43","19","3","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2005","Maybury north","","Johnson Creek","M1","-83.520006","42.432475","M","MR-23","WSU","","","","","","","","","","","","","","25","11","1","7","Szlinis","2022-04-23 00:00:00","9","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","WSU","2018-04-12 00:00:00","WSU class","Corey Krabbenhoft","Sally Petrella","19.3","9","0","0","WSU","2017-04-13 00:00:00","Boegehold","Boegehold","McCulloch","17.2","7","1","0","WSU","4/15/16","Bakkila","Bakkila","Thompson","27.4","10","1","0","2015-04-16 00:00:00","Krabbenhoft","Boegehold","Thompson","41.9","17","4","2","WSU","4/19/14","Thompson","Thompson","Thompson","39","16","4","3","5/5/13","Thompson","Thompson","Thompson","41","18","2","0","2012-04-28 00:00:00","Thompson","Thompson","Thompson","30","12","2","0","2011-04-24 00:00:00","Thompson","Thompson","Thompson","32","12","1","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2006","Lion's Club Pk","","Tonquish Creek","M1","-83.464724","42.364413","M","MR-24","WC","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Y","","","","","","","","","","","","","","","","","","","","","","","","","","4/22/13","Thompson","Thompson","Thompson","31","14","2","0","2012-04-23 00:00:00","Thompson","Thompson","Thompson","18","9","1","0","2011-05-16 00:00:00","Thompson","Thompson","Thompson","36","15","1","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2012","","","Johnson Creek","","-83.5135","42.43058","M","MR-25","WSU","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","WSU","2018-04-12 00:00:00","WSU class","","","38","15","5","1","WSU","2017-04-13 00:00:00","Boegehold","","McCulloch","34.4","13","3","0","WSU","4/15/16","Krabbenhoft","Krabbenhoft","Thompson","45.8","19","5","2","2015-04-16 00:00:00","Krabbenhoft","Boegehold","Thompson","51","21","6","2","WSU","4/19/14","Thompson","Thompson","Thompson","35","14","5","1","5/11/13","Thompson","Thompson","Thompson","49","25","7","1","2012-04-29 00:00:00","Thompson","Thompson","Thompson","43","20","4","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2014","","","Johnson Creek","","","","M","MR-26","ST","","","","","","","","","","","","","","","","","","","","","ST","4/18/2021","30.9","14","7","2","1","5.9","6.11","","","","","","","","","","","","","","","","","","","","","ST","2018-04-22 00:00:00","Sue Thompson","Sue Thompson","Sue Thompson","29.7","12","2","0","ST","2017-04-23 00:00:00","Thompson","Thompson","Thompson","48.1","17","3","1","ST","4/17/16","Thompson","Thompson","Thompson","34.1","13","1","0","2015-04-11 00:00:00","Thompson","Thompson","Thompson","42","15","0","0","ST","4/6/14","Thompson","Thompson","Thompson","31","13","1","0","5/12/13","Thompson","Thompson","Thompson","48","17","4","2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2026","","","Johnson Creek","","","","M","MR-27","ST","","","","","","","","","","","","","","26","10","2","6.05","Scupholm","2022-04-23 00:00:00","8","ST","4/25/2021","30","12","9","3","0","5.03","4.98","","","","","","","","","","","","","","","","","","","","","ST","2018-04-28 00:00:00","Sue Thompson","Sue Thompson","Sue Thompson","45.8","22","7","2","ST","2017-04-26 00:00:00","Thompson","Thompson","Thompson","47.5","23","7","2","ST","4/24/16","Thompson","Thompson","Thompson","51.5","25","7","2","2015-04-19 00:00:00","Thompson","Thompson","Thompson","50.9","19","4","1","ST","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"43","Reservoir Road West","S of 6 Mile, E of Hines","Middle Rouge","M1","-83.4704","42.4089","M","MR-2a","WC","","","Y","Y","Y","","","","","","","","2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","WC","2018-04-23 00:00:00","Mike Flowers","Sue Thompson","Sue Thompson","43.2","16","3","0","WC","2017-04-22 00:00:00","Thompson","Thompson","Thompson","47.5","20","4","0","Y","","","","","","","","","","","","","","","","","","","","","","","","","","4/26/13","Thompson","Thompson","Thompson","40","17","6","0","2012-04-24 00:00:00","Tuomari","Thompson","Thompson","37","12","4","0","2011-05-13 00:00:00","Thompson","Thompson","Thompson","44","15","3","0","2010-04-28 00:00:00","Thompson","Thompson","Thompson","38","15","4","0","","2009-05-04 00:00:00","Flowers","Flowers","41","16","4","0","2008-05-06 00:00:00","Best","Best","Best","48","18","4","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"85","Plymouth Riverside","S of Plymouth inside Plymouth Riverside","Middle Rouge","M1","-83.45532","42.37402","M","MR-3","WC","","","","","","Y","Y","Y","","","","","3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","WC","4/15/16","Thompson","Thompson","Thompson","37.4","16","2","0","","","","","","","","","","5/8/14","Thompson","Thompson","Thompson","42","15","3","0","","","","","","","","","2012-04-24 00:00:00","Tuomari","Thompson","Thompson","45","17","4","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2007-05-08 00:00:00","Thompson","Thompson","Best","39.4","15","4","0","2006-04-06 00:00:00","Best-WC","31.6","13","4","0","2005-04-08 00:00:00","WC","31.6","11","3","0","","","","","","","","",""
"44","Levan Knoll","W of Levan Knoll, S of Hines","Middle Rouge","M3","-83.40406","42.36445","M","MR-4","WC","","","Y","","","Y","Y","Y","","","","","3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","WC","2018-04-23 00:00:00","Sue Thompson","Sue Thompson","Sue Thompson","21.5","10","2","0","WC","2017-04-17 00:00:00","Thompson","Thompson","Thompson","23.8","10","2","0","","","","","","","","","","2015-04-18 00:00:00","Kukulski","Tluczek","McCulloch","20.5","9","1","0","15","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2010-04-28 00:00:00","Flowers","Flowers","Thompson","37","15","2","0","","","","","","","","","","","","","","","","","2007-04-17 00:00:00","Best","Best","Best","19.5","8","1","0","2006-05-10 00:00:00","Thompson-WC","40.8","14","2","0","2005-04-08 00:00:00","WC","32.5","12","2","0","","","","","","","","",""
"86","Valley View","E of Nankin, S of Hines","Middle Rouge","M3","-83.36118","42.34447","M","MR-5","WC","","","","","","Y","Y","Y","","","","","3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Y","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2007-04-17 00:00:00","Flowers","Flowers","Best","19.6","9","1","0","2006-04-06 00:00:00","Thompson-WC","5.1","3","0","0","2005-04-08 00:00:00","WC","18.6","8","1","0","","","","","","","","",""
"87","Sherwood","E of Merriman, N of Hines","Middle Rouge","M3","-83.33765","42.34132","M","MR-6","WC","","","","","","Y","Y","Y","","","","","3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Y","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2007-04-17 00:00:00","Benz","Raizada","Best","14.3","7","1","0","2006-04-06 00:00:00","Benz-WC","4","2","1","0","2005-04-08 00:00:00","WC","11.3","5","1","0","","","","","","","","",""
"88","Hills Drive","W of Middlebelt","Middle Rouge","M3","-83.32853","42.34286","M","MR-7","WC","","","","","","Y","Y","Y","","","","","3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Y","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2007-04-17 00:00:00","Best","Best","Best","23.5","9","2","0","2006-04-06 00:00:00","Best-WC","8","4","0","0","2005-04-08 00:00:00","WC","17.2","7","2","0","","","","","","","","",""
"45","Inkster Road","W of Inkster, S of Hines","Middle Rouge","M3","-83.31455","42.34893","M","MR-8","WC","","","Y","","","Y","Y","Y","","","","","3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","WC","4/16/16","Thompson","Thompson","Thompson","23.1","11","1","0","","","","","","","","","","4/22/14","Flowers","Flowers","Thompson","21","9","2","0","","","","","","","","","","","","","","","","","","","","","","","","","2010-04-28 00:00:00","Mullett","Mullett","Thompson","27","11","2","0","","","","","","","","","","","","","","","","","2007-04-17 00:00:00","Thompson","Thompson","Best","17.4","7","1","0","2006-04-06 00:00:00","Flowers-WC","5","3","1","0","2005-04-08 00:00:00","WC","18.5","10","2","0","","","","","","","","",""
"89","Wallaceville","E of Beech Daly","Middle Rouge","M3","-83.29135","42.34732","M","MR-9","WC","","","","","","Y","Y","Y","","","","","3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","WC","2018-04-24 00:00:00","Sue Thompson","Sue Thompson","Sue Thompson","20.5","8","1","0","","","","","","","","","","WC","4/18/16","Thompson","Thompson","Thompson","29.9","12","2","0","","","","","","","","","WC","","","","","","","","","","","","","","","","","2012-04-27 00:00:00","Mullett","Mullett","Thompson","35","13","2","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2007-04-17 00:00:00","Thompson","Thompson","Best","29.3","11","2","0","2006-04-06 00:00:00","Thompson-WC","8","4","1","0","2005-04-08 00:00:00","WC","17.4","7","2","0","","","","","","","","",""
