"ID","BRANCH","FIELDID","STONEFLIES PRESENT?","ST2022","ST2022date","ST2022Family","ST2022Saltppm","ST2021","ST2021date","ST2021Family","ST2021Saltppm","ST2020date","ST2020","ST2020Family","ST2020Salt","ST2020Saltppm","ST19","ST19Family","ST19 date","ST19Collector","ST18","ST18Collector","ST17Collector","ST17date","ST17","ST17Capnids","ST17Perlodids","ST17Nemourids","ST17Taeniopteryx","ST16date","ST16Collector","ST16","ST16 Capnids","ST16 Perlodids","ST15","ST15date","ST15Capnids","ST15Perlodids","ST15Collector","ST14date","ST14","ST14Capnids","ST14Perlodids","ST13date","ST13","ST13Capnids","ST13Perlodids","St13Taeniopteryx","ST12","ST12Capnids","ST12Perlodids","ST12Taeniopteryx","ST11 Perlodids","ST11 Capnid","ST11","ST10","ST10 Capnid","ST10 Perlodid","ST10 Nemouridae","ST10 Taeniopterygidae","ST09","ST09 Capnid","ST09 Perlodid","ST08","ST08 Capnid","ST08Perlodid","ST07","ST06","ST05","ST04","ST03","ST02"
"114","L","Fel5","Y","N","2022-01-22 00:00:00","","91","N","2021-01-23 00:00:00","","43","2020-01-25 00:00:00","Y","Capnids","2","46","Y","Capnids","2019-01-26 00:00:00","1","N","1","4","2017-01-21 00:00:00","Y","6","","","","2/13/16","1","N","","","N","2/14/15","","","5","1/25/14","Y","Y","Y","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"115","L","Low3","Y","","","","","","","","","2020-01-25 00:00:00","Y","Capnids","1.1","25","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"116","L","Low4","N","N","2022-01-22 00:00:00","","130","N","2021-01-23 00:00:00","","145","","","","","","","","","","","","","","","","","","","","","","","","N","2/14/15","","","11","1/25/14","N","N","N","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"117","L","LR-1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"118","U","Bell3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"119","U","Min3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"120","L","Fel6","Y","","","","","Y","2021-01-23 00:00:00","Capnids","126","2020-01-25 00:00:00","Y","Capnids","","","Y","Capnids","2019-01-26 00:00:00","5","Y","2","6","2017-01-21 00:00:00","Y","3","3","","","2/13/16","2","N","","","Y","2/14/15","","Y","5","1/25/14","Y","Y","N","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"121","L","Low5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"122","M","Wall4","N","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1/25/14","N","N","N","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"123","M","MR-26","Y","","","","","","","","","2020-01-20 00:00:00","Y","Capnids","","","N","","2019-01-27 00:00:00","ST","N","ST","ST","2017-01-14 00:00:00","N","","","","","2/7/16","ST","N","","","N","2/8/15","","","ST","2/2/14","N","N","N","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"124","M","MR-27","Y","Y","2022-01-16 00:00:00","Capnids","114","Y","2021-01-13 00:00:00","Capnids","174","2020-02-01 00:00:00","Y","Capnids","","","Y","Capnids","2019-01-26 00:00:00","9","Y","WC","2","2017-01-21 00:00:00","Y","56","","","","2/20/16","ST","Y","2","","N","2/17/15","","","ST","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"125","L","Low8","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"126","MN","Evan1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"127","MN","Evan2","N","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","N","2/14/15","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"129","L","Fowl5","Y","Y","2022-01-22 00:00:00","Capnids","101","","","","","","","","","","","","","","","","10","2017-01-21 00:00:00","Y","5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"130","L","Fowl3","Y","","","","","","","","","2020-01-25 00:00:00","Y","Capnids","1.4","25","","","","","","","8","2017-01-21 00:00:00","Y","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"131","L","Nfowl","N","","","","","","","","","","","","","","","","","","","","10","2017-01-21 00:00:00","N","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"132","L","Fel7","Y","","","","","","","","","","","","","","","","","","","","7","2017-01-21 00:00:00","Y","15","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"133","M","MR-28","N","","","","","","","","","","","","","","","","","","","","ST","2017-01-29 00:00:00","N","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"134","U","Min4","Y","Y","2022-01-22 00:00:00","Capnids","155","Y","2021-01-23 00:00:00","Capnids","455","2020-01-25 00:00:00","Y","Capnids","5.8","335","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"135","U","See4","N","","","","","","","","","2020-01-25 00:00:00","N","","6.8","465","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"136","L","Fowl4","Y","N","2022-01-22 00:00:00","","650","","","","","2020-01-25 00:00:00","Y","Capnids","2","46","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"137","M","Ton4","N","","","","","","","","","2020-01-25 00:00:00","N","","8","700","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"138","M","Ton5","N","","","","","","","","","2020-01-25 00:00:00","N","","7.8","650","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"139","M","Will4","N","","","","","","","","","2020-01-25 00:00:00","N","","3","103","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"140","L","Fel8","N","","","","","","","","","2020-01-25 00:00:00","N","","3.6","143","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"141","M
M","MR-27A","Y","Y","2022-01-23 00:00:00","Capnids","114","","","","","2020-01-20 00:00:00","Y","Capnids","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"142","MN","Evan3","","","","","","","","","0","","","","0","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"143","MN","Mur2","","","","","","","","","0","","","","0","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
